C,A,B,value
C1,A1,B1,21
C1,A1,B1,24
C1,A1,B2,23
C1,A1,B2,23
C1,A1,B2,27
C1,A1,B3,35
C1,A2,B1,
C1,A2,B2,18
C1,A2,B2,16
C1,A2,B3,28
C1,A2,B3,23
C1,A2,B3,25
C1,A3,B1,37
C1,A3,B1,37
C1,A3,B2,
C1,A3,B3,34
C2,A1,B1,32
C2,A1,B2,
C2,A1,B3,18
C2,A1,B3,21
C2,A2,B1,27
C2,A2,B1,29
C2,A2,B1,26
C2,A2,B2,35
C2,A2,B3,
C2,A3,B1,37
C2,A3,B1,32
C2,A3,B2,34
C2,A3,B2,36
C2,A3,B2,42
C2,A3,B3,16
C2,A3,B3,13
C2,A3,B3,15
C3,A1,B1,26
C3,A1,B1,22
C3,A1,B2,23
C3,A1,B2,25
C3,A1,B2,20
C3,A1,B3,22
C3,A2,B1,30
C3,A2,B1,33
C3,A2,B2,
C3,A2,B3,40
C3,A3,B1,
C3,A3,B2,27
C3,A3,B2,30
C3,A3,B2,33
C3,A3,B3,36
C3,A3,B3,38
