Disease,Drug,value
Disease 1,Drug 1,42
Disease 1,Drug 1,44
Disease 1,Drug 1,36
Disease 1,Drug 1,13
Disease 1,Drug 1,19
Disease 1,Drug 1,22
Disease 1,Drug 2,28
Disease 1,Drug 2,23
Disease 1,Drug 2,34
Disease 1,Drug 2,42
Disease 1,Drug 2,13
Disease 1,Drug 3,1
Disease 1,Drug 3,24
Disease 1,Drug 3,9
Disease 1,Drug 3,22
Disease 1,Drug 3,-2
Disease 1,Drug 3,15
Disease 1,Drug 4,1
Disease 1,Drug 4,29
Disease 1,Drug 4,19
Disease 2,Drug 1,33
Disease 2,Drug 1,26
Disease 2,Drug 1,33
Disease 2,Drug 1,21
Disease 2,Drug 2,34
Disease 2,Drug 2,33
Disease 2,Drug 2,31
Disease 2,Drug 2,36
Disease 2,Drug 3,21
Disease 2,Drug 3,1
Disease 2,Drug 3,9
Disease 2,Drug 3,3
Disease 2,Drug 4,22
Disease 2,Drug 4,7
Disease 2,Drug 4,25
Disease 2,Drug 4,5
Disease 2,Drug 4,12
Disease 3,Drug 1,21
Disease 3,Drug 1,-3
Disease 3,Drug 1,25
Disease 3,Drug 1,24
Disease 3,Drug 2,3
Disease 3,Drug 2,26
Disease 3,Drug 2,28
Disease 3,Drug 2,32
Disease 3,Drug 2,4
Disease 3,Drug 2,16
Disease 3,Drug 3,11
Disease 3,Drug 3,9
Disease 3,Drug 3,7
Disease 3,Drug 3,1
Disease 3,Drug 3,-6
Disease 3,Drug 4,27
Disease 3,Drug 4,12
Disease 3,Drug 4,-5
Disease 3,Drug 4,16
Disease 3,Drug 4,15
Disease 3,Drug 4,12
