CONC,TEMP,product
CONC1,TEMP1,
CONC1,TEMP2,
CONC1,TEMP3,
CONC1,TEMP4,20
CONC1,TEMP4,22
CONC1,TEMP5,26
CONC1,TEMP5,29
CONC1,TEMP5,29
CONC2,TEMP1,
CONC2,TEMP2,
CONC2,TEMP3,16
CONC2,TEMP3,14
CONC2,TEMP3,18
CONC2,TEMP4,22
CONC2,TEMP5,25
CONC2,TEMP5,24
CONC2,TEMP5,22
CONC3,TEMP1,
CONC3,TEMP2,12
CONC3,TEMP2,15
CONC3,TEMP2,13
CONC3,TEMP3,20
CONC3,TEMP3,22
CONC3,TEMP3,18
CONC3,TEMP4,24
CONC3,TEMP4,23
CONC3,TEMP5,29
CONC3,TEMP5,30
CONC3,TEMP5,26
CONC4,TEMP1,12
CONC4,TEMP1,15
CONC4,TEMP2,17
CONC4,TEMP2,12
CONC4,TEMP3,23
CONC4,TEMP3,20
CONC4,TEMP3,20
CONC4,TEMP4,27
CONC4,TEMP4,25
CONC4,TEMP5,
CONC5,TEMP1,14
CONC5,TEMP1,16
CONC5,TEMP2,19
CONC5,TEMP2,18
CONC5,TEMP2,21
CONC5,TEMP3,22
CONC5,TEMP3,24
CONC5,TEMP4,
CONC5,TEMP5,
